date,Open,High,Low,target_price,volume,market_cap,increase_volume,increase_market_cap,increase_price,MA7_volume,MA7_market_cap,MA7_price,MA30_volume,MA30_market_cap,MA30_price,volume_lag_7,market_cap_lag_7,price_lag_7,volume_lag_30,market_cap_lag_30,price_lag_30,label,DFF,NFINCP,FINCP,DPRIME,DPCREDIT,DTWEXBGS,CPIAUCSL,DGS3MO,DGS1,DGS30,negative,neutral,positive,increase_negative,increase_neutral,increase_positive,MA7_negative,MA7_neutral,MA7_positive,MA30_negative,MA30_neutral,MA30_positive
2024-06-28,61617.14,62200.29,60080.0,60427.86,86177794784.1875,1206091521629.9202,-0.2912883740278316,-0.001876925124477,-0.0197610390284536,93279025042.87202,1225244968102.007,61795.88142857143,96100884840.06644,1310342105766.1416,66335.38133333334,91064047001.40276,1265161643968.486,64097.29,100941705870.14584,1339429081861.6528,67665.53,0.0,5.33,319.8020625,611.629578125,8.5,5.5,124.5172,313.049,5.48,5.09,4.51,0.4476943723857403,0.3071457780897617,0.2451598471961915,7.410231927316753,-0.637311930010694,1.4538428474208032,0.126041150857262,0.6281125239229627,0.2458463131682947,0.1427449208035668,0.6115648164210151,0.2456902590369913
2024-06-29,60427.81,61210.0,60426.02,60964.17,81524470017.98264,1200637863094.9756,-0.0539967955534026,-0.0045217617710921,0.0088752108712768,93254676826.1384,1215793259145.5503,61323.22,95496553147.58516,1305570793530.4214,66088.32100000001,81694907535.11806,1266799825790.1702,64272.8,99654420792.42014,1343777230166.5833,68375.98,0.0,5.33,319.8020625,611.629578125,8.5,5.5,124.60223333333332,313.049,5.476666666666667,5.093333333333333,4.553333333333333,0.0125661281053907,0.628383195027709,0.3590506499167531,-0.9719314584223462,1.045879318074388,0.4645573246316286,0.0909017877894387,0.6227336227627737,0.2863645730473633,0.1430578017055746,0.6181532706551185,0.2387889214503376
2024-06-30,60986.67,62990.1,60660.77,62849.53,72644110248.8125,1212487409355.9585,-0.1089287641760971,0.0098693757919956,0.0309257060335603,93839570318.37154,1208244236669.4587,61260.23428571429,94588730796.71214,1301320018003.5112,65930.765,68549855803.18056,1265330566688.6006,63290.43,99878780775.00348,1340010675163.264,67576.21,0.0,5.33,319.8020625,611.629578125,8.5,5.5,124.68726666666667,313.049,5.473333333333334,5.096666666666667,4.596666666666667,0.3333168791917463,0.5253175466010968,0.1413655978394671,25.52502635626927,-0.1640171940340758,-0.6062795099458999,0.1241456868221229,0.6078992446707118,0.267955059095818,0.1528234623700552,0.6120841362516845,0.2350923960080788
2024-07-01,62771.97,63844.24,62597.62,62889.92,86017960841.93056,1244171964434.75,0.1841009621745168,0.0261318631717763,0.0006426460150139,93525798191.45238,1212951718884.849,61618.392857142855,94388230878.74805,1298326887673.34,65768.83066666666,88214365730.36458,1211219588927.017,60382.81,92032958380.85416,1333965874339.8818,67747.95,0.0,5.33,319.8020625,611.629578125,8.5,5.5,124.7723,313.534,5.47,5.1,4.64,0.0017105887527577,0.2356221871450542,0.7626671493053436,-0.994867980412796,-0.551467129416152,4.394998224189013,0.123867357154155,0.5733759631358442,0.3027566630559574,0.14933864397444,0.5988901534569415,0.251771194541365
2024-07-02,62906.0,63243.07,61816.25,62127.95,83918670305.98611,1232201860247.7014,-0.0244052581042018,-0.0096209402954091,-0.0121159320921381,90512336719.41866,1216359951379.2004,61666.67428571428,94458885366.45776,1294848647031.242,65580.37999999999,105012900610.22224,1208344232787.2432,61789.98,81799035674.69444,1336549079510.6494,67781.47,0.0,5.33,319.8020625,611.629578125,8.5,5.5,124.608,313.534,5.47,5.07,4.6,0.2282807211657719,0.6875348133700234,0.0841844627367598,132.45155040786548,1.917954466430454,-0.8896183442364901,0.1551863971913905,0.5948484199704464,0.2499651696927351,0.1486420006733316,0.5985621569021127,0.2527958335136545
2024-07-03,62127.99,62285.9,59521.02,60294.75,87751477173.18056,1194737097555.5833,0.0456728741437296,-0.0304047282355075,-0.0295068483669587,88518901702.71725,1214098176899.2869,61600.03285714285,94137325511.45276,1289376941068.532,65296.581666666665,101705522290.09029,1210569518914.9792,60761.24,97398272823.32986,1358888276436.8855,68808.7,0.0,5.33,319.8020625,611.629578125,8.5,5.5,124.1096,313.534,5.47,5.04,4.53,0.1711821149413783,0.7091820687055588,0.1196358393256862,-0.2501245218291122,0.0314853225096036,0.4211154343264139,0.178283273188562,0.5628635606912225,0.2588531546600378,0.1542487375575188,0.6038551162736944,0.2418961377544293
2024-07-04,60208.62,60465.72,56809.43,57142.0,101841641575.29169,1149061223527.9932,0.160568971098956,-0.038230899602132,-0.0522889637986723,85696589278.19594,1205626991406.6975,60956.597142857136,94043552057.86308,1281958983186.3767,64848.015,121597828546.94098,1208359521976.1182,61646.05,104654845182.98264,1371599959992.6423,70599.0,0.0,5.33,320.618398438,612.717640625,8.5,5.5,123.9644,313.534,5.465,5.01,4.5,0.3058761486085132,0.4973083771765232,0.196815484156832,0.7868464162465867,-0.2987578238064592,0.6451214390784571,0.2143752790216141,0.5129277094451039,0.2726970043538619,0.1603351883051987,0.5961756468124519,0.2434891559084221
2024-07-05,57043.9,57434.94,53761.07,56691.34,122554076854.67014,1098277236760.184,0.2033788434573269,-0.0441960669527127,-0.0078866683000245,90893201002.5506,1190224950711.0208,60422.80857142857,94418313799.35034,1271903875233.6296,64366.662,86177794784.1875,1206091521629.9202,60427.86,111311224610.05208,1399930475342.5972,71131.93,0.0,5.33,320.618398438,612.717640625,8.5,5.5,123.8192,313.534,5.46,4.98,4.47,0.0052928669028915,0.4702871656045317,0.5244199410080909,-0.9826960456806793,-0.0543349213729413,1.664525828619296,0.1511750639526357,0.5362336219472139,0.3125913034698476,0.1572387474879582,0.5923620960536998,0.2503991473100689
2024-07-06,56628.73,58398.11,56050.98,58232.99,98029265844.13194,1123846909922.1216,-0.2001141997064754,0.0232816198916821,0.027193747757594,93251028977.7148,1179254814543.4702,60032.64,94256704572.81412,1262727911286.8218,63948.325,81524470017.98264,1200637863094.9756,60964.17,102877542640.21877,1399125828326.361,70783.1,0.0,5.33,320.618398438,612.717640625,8.5,5.5,123.78146666666666,313.534,5.46,4.983333333333333,4.466666666666667,0.2633888632602368,0.5526460390537977,0.1839650696298728,48.76298631585601,0.1751246461157355,-0.649202756713947,0.1870068832604708,0.5254140282366552,0.2875790777145789,0.162902321938711,0.5886023088064941,0.2484953587987898
2024-07-07,58230.16,58374.36,55818.0,55878.38,79631334264.54167,1129871085015.965,-0.1876779492447007,0.0053603164636195,-0.0404342967791968,94249203837.10466,1167452482494.9,59036.76142857142,93374679895.62616,1253986118410.3845,63498.41099999999,72644110248.8125,1212487409355.9585,62849.53,106092074580.18056,1392124871309.0798,69375.8,0.0,5.33,320.618398438,612.717640625,8.5,5.5,123.74373333333334,313.534,5.46,4.986666666666667,4.463333333333333,0.2278366737999022,0.3847062356770038,0.3874570793006568,-0.1349798507813443,-0.3038831213996011,1.106144824559349,0.1719382824902074,0.5053266981046419,0.322735003637606,0.1660914065200044,0.5784008645531686,0.2555077183538244
