Date,target_price,lower_barrier_price,upper_barrier_price,label
2022-06-28,137.44000244140625,123.69600219726563,151.1840026855469,1
2022-06-29,139.22999572753906,125.30699615478515,153.152995300293,1
2022-06-30,136.72000122070312,123.04800109863281,150.39200134277345,1
2022-07-01,138.92999267578125,125.03699340820313,152.8229919433594,1
2022-07-05,141.55999755859375,127.40399780273438,155.71599731445315,1
2022-07-06,142.9199981689453,128.62799835205078,157.21199798583984,1
2022-07-07,146.35000610351562,131.71500549316406,160.9850067138672,1
2022-07-08,147.0399932861328,132.33599395751955,161.7439926147461,1
2022-07-11,144.8699951171875,130.38299560546875,159.35699462890625,1
2022-07-12,145.86000061035156,131.2740005493164,160.44600067138674,1
2022-07-13,145.49000549316406,130.94100494384767,160.03900604248048,1
2022-07-14,148.47000122070312,133.6230010986328,163.31700134277344,1
2022-07-15,150.1699981689453,135.1529983520508,165.18699798583987,1
2022-07-18,147.07000732421875,132.36300659179688,161.77700805664062,1
2022-07-19,151.0,135.9,166.10000000000002,1
2022-07-20,153.0399932861328,137.73599395751953,168.3439926147461,1
2022-07-21,155.35000610351562,139.81500549316408,170.8850067138672,1
2022-07-22,154.08999633789062,138.68099670410157,169.4989959716797,1
2022-07-25,152.9499969482422,137.65499725341797,168.24499664306643,1
2022-07-26,151.60000610351562,136.44000549316408,166.7600067138672,1
2022-07-27,156.7899932861328,141.11099395751953,172.4689926147461,1
2022-07-28,157.35000610351562,141.61500549316406,173.0850067138672,1
2022-07-29,162.50999450683594,146.25899505615234,178.76099395751956,0
2022-08-01,161.50999450683594,145.35899505615234,177.66099395751954,0
2022-08-02,160.00999450683594,144.00899505615234,176.01099395751956,0
2022-08-03,166.1300048828125,149.51700439453126,182.74300537109377,0
2022-08-04,165.80999755859375,149.22899780273437,182.39099731445313,0
2022-08-05,165.35000610351562,148.81500549316408,181.8850067138672,0
2022-08-08,164.8699951171875,148.38299560546875,181.35699462890628,0
2022-08-09,164.9199981689453,148.4279983520508,181.41199798583986,0
2022-08-10,169.24000549316406,152.31600494384767,186.16400604248048,0
2022-08-11,168.49000549316406,151.64100494384766,185.3390060424805,0
2022-08-12,172.10000610351562,154.89000549316407,189.3100067138672,-1
2022-08-15,173.19000244140625,155.87100219726562,190.5090026855469,-1
2022-08-16,173.02999877929688,155.72699890136718,190.33299865722657,-1
2022-08-17,174.5500030517578,157.09500274658203,192.0050033569336,-1
2022-08-18,174.14999389648438,156.73499450683593,191.56499328613282,-1
2022-08-19,171.52000427246094,154.36800384521484,188.67200469970706,-1
2022-08-22,167.57000732421875,150.8130065917969,184.32700805664064,-1
2022-08-23,167.22999572753906,150.50699615478516,183.952995300293,0
2022-08-24,167.52999877929688,150.7769989013672,184.28299865722659,-1
2022-08-25,170.02999877929688,153.0269989013672,187.03299865722659,-1
2022-08-26,163.6199951171875,147.25799560546875,179.98199462890628,0
2022-08-29,161.3800048828125,145.24200439453125,177.51800537109378,0
2022-08-30,158.91000366210938,143.01900329589844,174.80100402832034,0
2022-08-31,157.22000122070312,141.4980010986328,172.94200134277344,0
2022-09-01,157.9600067138672,142.16400604248048,173.75600738525392,-1
2022-09-02,155.80999755859375,140.22899780273437,171.39099731445313,-1
2022-09-06,154.52999877929688,139.0769989013672,169.98299865722657,-1
2022-09-07,155.9600067138672,140.36400604248047,171.5560073852539,-1
2022-09-08,154.4600067138672,139.01400604248047,169.90600738525393,-1
2022-09-09,157.3699951171875,141.63299560546875,173.10699462890625,-1
2022-09-12,163.42999267578125,147.08699340820314,179.7729919433594,-1
2022-09-13,153.83999633789062,138.45599670410158,169.2239959716797,-1
2022-09-14,155.30999755859375,139.77899780273438,170.84099731445315,-1
2022-09-15,152.3699951171875,137.13299560546875,167.60699462890625,0
2022-09-16,150.6999969482422,135.62999725341797,165.7699966430664,0
2022-09-19,154.47999572753906,139.03199615478516,169.927995300293,-1
2022-09-20,156.89999389648438,141.20999450683595,172.58999328613282,-1
2022-09-21,153.72000122070312,138.3480010986328,169.09200134277344,-1
2022-09-22,152.74000549316406,137.46600494384765,168.01400604248047,0
2022-09-23,150.42999267578125,135.38699340820312,165.47299194335938,0
2022-09-26,150.77000427246094,135.69300384521486,165.84700469970704,0
2022-09-27,151.75999450683594,136.58399505615236,166.93599395751954,0
2022-09-28,149.83999633789062,134.85599670410156,164.8239959716797,0
2022-09-29,142.47999572753906,128.23199615478515,156.72799530029297,0
2022-09-30,138.1999969482422,124.37999725341797,152.0199966430664,1
2022-10-03,142.4499969482422,128.204997253418,156.69499664306642,0
2022-10-04,146.10000610351562,131.49000549316406,160.7100067138672,0
2022-10-05,146.39999389648438,131.75999450683594,161.0399932861328,0
2022-10-06,145.42999267578125,130.88699340820312,159.97299194335938,0
2022-10-07,140.08999633789062,126.08099670410157,154.0989959716797,1
2022-10-10,140.4199981689453,126.37799835205078,154.46199798583984,1
2022-10-11,138.97999572753906,125.08199615478516,152.87799530029298,1
2022-10-12,138.33999633789062,124.50599670410156,152.1739959716797,1
2022-10-13,142.99000549316406,128.69100494384767,157.28900604248048,0
2022-10-14,138.3800048828125,124.54200439453125,152.21800537109377,1
2022-10-17,142.41000366210938,128.16900329589845,156.65100402832033,0
2022-10-18,143.75,129.375,158.125,0
2022-10-19,143.86000061035156,129.4740005493164,158.24600067138672,0
2022-10-20,143.38999938964844,129.0509994506836,157.7289993286133,0
2022-10-21,147.27000427246094,132.54300384521486,161.99700469970705,0
2022-10-24,149.4499969482422,134.50499725341797,164.3949966430664,0
2022-10-25,152.33999633789062,137.10599670410156,167.5739959716797,-1
2022-10-26,149.35000610351562,134.41500549316407,164.2850067138672,0
2022-10-27,144.8000030517578,130.32000274658205,159.2800033569336,0
2022-10-28,155.74000549316406,140.16600494384767,171.3140060424805,-1
2022-10-31,153.33999633789062,138.00599670410156,168.6739959716797,-1
2022-11-01,150.64999389648438,135.58499450683595,165.71499328613282,-1
