date,Open,High,Low,price,volume,market_cap,increase_volume,increase_market_cap,increase_price,MA7_volume,MA7_market_cap,MA7_price,MA30_volume,MA30_market_cap,MA30_price,volume_lag_7,market_cap_lag_7,price_lag_7,volume_lag_30,market_cap_lag_30,price_lag_30,label,DFF,NFINCP,FINCP,DPRIME,DPCREDIT,DTWEXBGS,CPIAUCSL,DGS3MO,DGS1,DGS30,negative,neutral,positive,increase_negative,increase_neutral,increase_positive,MA7_negative,MA7_neutral,MA7_positive,MA30_negative,MA30_neutral,MA30_positive
2024-08-19,58320.02,59562.71,57928.86,59562.71,93178855472.10802,1157509291689.108,0.15526356378554995,-0.01701246638842904,0.017714535176276542,96553393490.12692,1167970829659.409,59043.81857142858,111427722050.21016,1225785110265.9956,62014.219333333334,100105883667.67249,1164230078281.8257,59342.02,104553506285.97212,1315702759692.4285,67182.45,1.0,5.33,283.24459375,605.005671875,8.5,5.5,122.1762,314.121,5.31,4.48,4.11,0.00742198037914926,0.5895868241786957,0.40299118906259535,-0.9818446014545492,0.1966893868720279,3.0906396907431226,0.2562554836871901,0.5865347195150596,0.15720978438344207,0.1409833114766164,0.5425708775294245,0.31644580708625697
2024-08-20,59448.0,61315.96,58705.68,59056.01,103619917438.0662,1185948542857.0105,0.11205398384704976,0.02456935021783048,-0.008507000437018348,96542514779.34047,1169051795845.541,58828.24714285715,111892504496.5054,1221194184910.9631,61713.68666666666,103696068413.57144,1178381779554.0872,60565.01,89676444049.20906,1323676303507.9895,68071.99,1.0,5.33,283.24459375,605.005671875,8.5,5.5,122.0677,314.121,5.29,4.43,4.07,0.003887380938977,0.1277506351470947,0.8683620095252991,-0.47623400488932727,-0.7833217604123811,1.154791551510619,0.20615422946866602,0.5299229170860988,0.26392284330934107,0.14105128973191192,0.5449677135370592,0.3139809921054322
2024-08-21,59114.41,61813.19,58907.09,61109.99,109456682134.21603,1180932346414.1184,0.05632859821219686,-0.00422969147616457,0.034780202726191554,97858366779.19861,1168212869205.676,59168.11285714286,111801918449.3706,1216181811725.0635,61497.75399999999,100245718135.20906,1186804832893.1743,58730.93,112174263548.25964,1331303541991.1018,67587.97,1.0,5.33,283.24459375,605.005671875,8.5,5.5,122.1407,314.121,5.26,4.36,4.06,0.0181097262538969,0.7578218877315521,0.22406841441988945,3.658593160325224,4.932040078383801,-0.7419642822209838,0.13481043438826287,0.5765154947127614,0.28867406378988,0.1342603277160124,0.5571464861690919,0.30859318283350795
2024-08-22,61167.48,61379.44,59953.14,60386.02,109925654743.1324,1197426375299.5957,0.004284549830784304,0.013966954953483272,-0.011846999156766368,98767495589.5356,1174656083591.2688,59566.11571428571,111627498204.73053,1212354596714.8088,61313.46966666667,103561753070.77351,1152323874600.446,57600.0,115158262082.33447,1312242825607.23,65914.55,1.0,5.33,277.472550781,616.93896875,8.5,5.5,122.6371,314.121,5.28,4.43,4.13,0.30250222695758566,0.4196939254179597,0.27780387538950885,15.703854200584198,-0.4461839487451827,0.23981720542245943,0.17359084941147426,0.4999535297974944,0.3264556211075701,0.1404152968298137,0.5545979656847736,0.3049867353763273
2024-08-23,60392.09,64851.37,60392.09,63979.97,109681143161.26572,1218888710712.563,-0.002224335915378842,0.017923720285180304,0.05951625889568487,99236899019.0738,1184018327684.0415,60291.525714285715,111711443796.21188,1209582069970.348,61265.734333333334,106395319154.49826,1153353002063.1533,58902.1,107162775416.8258,1302064513046.3972,65412.03,1.0,5.33,277.472550781,616.93896875,8.5,5.5,121.7525,314.121,5.25,4.36,4.1,0.1135261431336402,0.8188666105270386,0.0676072537899017,-0.6247097276756316,0.9511042713128517,-0.7566367506748797,0.1816468380774105,0.5050528717803813,0.3133002953925392,0.13697867905539052,0.5650136046990674,0.2980077151376285
2024-08-24,64090.69,64416.96,63625.97,64107.98,125881577994.09409,1264412172950.7073,0.14770483207864313,0.03734833364034625,0.0020007824323769146,104628537072.26692,1197522804073.8022,60961.23285714286,112204487979.58412,1209296695367.7244,61210.99966666666,88140111621.74216,1169880838222.3833,59420.03,111090252492.92683,1272973411029.4077,65750.02,1.0,5.33,277.472550781,616.93896875,8.5,5.5,121.82426666666666,314.121,5.246666666666667,4.366666666666667,4.1033333333333335,0.02374842646531756,0.5783952191472054,0.397856368124485,-0.7908109461856598,-0.29366369111699536,4.88481776468654,0.12542840405201006,0.5406852410574045,0.33388636503035996,0.13309857481132473,0.561858294131185,0.3050431307334398
2024-08-25,64184.99,64837.15,63792.95,64279.03,94619490854.93729,1265316086913.1846,-0.24834521172449478,0.000714888690424316,0.002668154572956372,106623331685.40282,1210061932405.1838,61783.101428571434,111588827620.40225,1207289965722.815,61089.833333333336,80655928562.98607,1177542188593.5122,58525.95,113089301630.39372,1325517976260.4705,67914.02,1.0,5.33,277.472550781,616.93896875,8.5,5.5,121.89603333333334,314.121,5.243333333333333,4.373333333333333,4.1066666666666665,0.015222533605992766,0.5987427681684494,0.386034699777762,-0.35900874829648577,0.03517931744187782,-0.02971340738480807,0.06920263110493709,0.5558368386168565,0.3749605442984916,0.13354513300594775,0.5802203276535625,0.28623453845699914
2024-08-26,64347.03,64374.01,62866.04,62866.04,101203762857.35191,1256706917886.4844,0.0695868466731562,-0.006803967100191373,-0.02198213009748277,107769747026.15196,1224233021861.952,62255.00571428571,111548995019.43266,1204342997559.9688,60917.16866666667,93178855472.10802,1157509291689.108,59562.71,102398740886.43904,1345115962771.871,68045.98,1.0,5.33,277.472550781,616.93896875,8.5,5.5,121.9678,314.121,5.24,4.38,4.11,0.378403818855683,0.5135916757086912,0.10800451451602082,23.858136539551737,-0.14221648592138297,-0.7202207092310654,0.12220003660158477,0.5449803888354273,0.33281959079183815,0.1452776083620431,0.5795010023677436,0.2752213873855508
2024-08-27,62828.6,63189.69,58564.03,59503.05,109127583964.41116,1227021403141.0278,0.07829571631865095,-0.023621668921327582,-0.05349454172713913,108556556529.91551,1230100573331.0974,62318.86857142857,111325030885.11478,1200699275492.6924,60626.10666666667,103619917438.0662,1185948542857.0105,59056.01,115846507993.94774,1336333065159.3171,68234.91,1.0,5.33,277.472550781,616.93896875,8.5,5.5,122.1318,314.121,5.23,4.34,4.13,0.38858511205762625,0.4675557389855385,0.14385915058664972,0.026905894429744635,-0.08963528596842817,0.331973494175657,0.17715685533282038,0.5935239750980621,0.22931918237203106,0.1561590070979732,0.5830917569942693,0.26074923517819365
2024-08-28,59320.04,60162.0,57933.03,59034.65,125193171751.83276,1170041472108.021,0.14721839523782485,-0.046437601566806444,-0.00787186539177406,110804626475.28934,1228544734144.512,62022.39142857143,112118677983.06879,1194639528406.6936,60366.927333333326,109456682134.21603,1180932346414.1184,61109.99,101383758813.21254,1351833884687.9895,66810.03,1.0,5.33,277.472550781,616.93896875,8.5,5.5,122.1586,314.121,5.21,4.36,4.13,0.9635449647903442,0.0336602367460727,0.002794710220769,1.4796239868486079,-0.928008077028194,-0.9805732884604677,0.3122190322665986,0.49007231067156504,0.19770865320072817,0.18724263390253615,0.5612396555672838,0.25151770736365553
